,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,souillac,-20.5167,57.5167,73.29,69,9,16.51,MU,1658563265
1,ribeira grande,38.5167,-28.7,72.0,83,40,5.75,PT,1658563166
2,atuona,-9.8,-139.0333,77.23,80,9,17.81,PF,1658563403
3,punta arenas,-53.15,-70.9167,30.11,80,35,11.99,CL,1658563170
4,naryshkino,52.9678,35.7268,73.13,65,2,10.25,RU,1658563405
5,hobart,-42.8794,147.3294,54.27,80,75,3.44,AU,1658563346
6,mataura,-46.1927,168.8643,41.49,95,7,3.44,NZ,1658563116
7,masalli,34.7959,126.6553,81.16,69,100,12.03,KR,1658563408
8,batie,9.8833,-2.9167,74.14,87,100,7.16,BF,1658563410
9,butaritari,3.0707,172.7902,82.63,77,6,12.48,KI,1658563411
10,inirida,3.8653,-67.9239,72.32,99,100,0.76,CO,1658563412
11,isangel,-19.55,169.2667,76.64,81,100,12.39,VU,1658563413
12,thompson,55.7435,-97.8558,53.76,100,100,8.05,CA,1658563241
13,ushuaia,-54.8,-68.3,24.28,97,89,3.47,AR,1658563416
14,ellisras,-23.6649,27.7443,67.12,49,5,7.4,ZA,1658563418
15,hermanus,-34.4187,19.2345,51.8,70,87,13.85,ZA,1658563155
16,barrow,71.2906,-156.7887,37.42,93,100,13.8,US,1658563420
17,port pirie,-33.1833,138.0167,58.01,53,0,4.61,AU,1658563421
18,saskylakh,71.9167,114.0833,54.52,74,100,5.5,RU,1658563125
19,bredasdorp,-34.5322,20.0403,54.73,74,81,12.55,ZA,1658563424
20,celestun,20.8667,-90.4,78.24,77,50,9.93,MX,1658563237
21,maragogi,-9.0122,-35.2225,73.26,88,66,9.13,BR,1658563378
22,severo-kurilsk,50.6789,156.125,55.94,84,54,6.87,RU,1658563428
23,sibolga,1.7427,98.7792,86.18,71,78,5.46,ID,1658563429
24,pouembout,-21.1333,164.9,73.09,92,33,6.17,NC,1658563431
25,ponta do sol,32.6667,-17.1,73.71,82,13,4.59,PT,1658563199
26,tula,54.2044,37.6111,77.59,59,71,8.05,RU,1658563422
27,kailua,21.4022,-157.7394,78.03,81,3,8.01,US,1658563434
28,kodiak,57.79,-152.4072,49.87,80,97,3.58,US,1658563436
29,rudnaya pristan,44.3614,135.8116,64.89,87,88,7.43,RU,1658563437
30,artyom,40.4723,50.333,84.34,70,0,19.1,AZ,1658563438
31,yellowknife,62.456,-114.3525,62.56,67,100,8.01,CA,1658563439
32,bubaque,11.2833,-15.8333,77.74,88,100,15.1,GW,1658563440
33,puerto ayora,-0.7393,-90.3518,68.56,90,73,5.01,EC,1658563442
34,upernavik,72.7868,-56.1549,42.4,96,100,13.29,GL,1658563443
35,oranjemund,-28.55,16.4333,57.07,75,4,12.41,NA,1658563178
36,bluff,-46.6,168.3333,41.81,80,4,6.89,NZ,1658563271
37,santarem,-2.4431,-54.7083,72.07,84,12,2.82,BR,1658563446
38,bambui,-20.0064,-45.9769,54.79,67,1,1.5,BR,1658563447
39,falciu,46.2961,28.1408,85.21,29,90,6.73,RO,1658563449
40,georgetown,5.4112,100.3354,91.33,58,20,4.61,MY,1658563364
41,loukhi,66.0764,33.0381,68.7,56,100,6.08,RU,1658563452
42,bethel,41.3712,-73.414,72.64,94,3,2.93,US,1658563245
43,hithadhoo,-0.6,73.0833,82.6,72,99,4.34,MV,1658563455
44,rikitea,-23.1203,-134.9692,72.0,73,0,9.84,PF,1658563456
45,churapcha,62.0025,132.4325,75.65,64,85,3.06,RU,1658563458
46,yulara,-25.2406,130.9889,77.54,21,0,8.75,AU,1658563459
47,faya,18.3851,42.4509,86.52,24,20,4.16,SA,1658563461
48,nyurba,63.2842,118.3319,74.41,63,65,5.46,RU,1658563462
49,busselton,-33.65,115.3333,55.58,79,78,20.54,AU,1658563463
50,baiyin,36.5583,104.2081,85.53,22,0,5.73,CN,1658563464
51,kysyl-syr,63.8986,122.7617,76.39,56,73,1.74,RU,1658563467
52,oranjestad,12.524,-70.027,79.97,85,30,20.71,AW,1658563299
53,inongo,-1.95,18.2667,69.67,87,93,1.07,CD,1658563470
54,vaini,-21.2,-175.2,69.96,83,20,8.05,TO,1658563472
55,sorong,-0.8833,131.25,80.47,83,82,13.58,ID,1658563473
56,antofagasta,-23.65,-70.4,58.28,90,100,0.36,CL,1658563475
57,boa vista,2.8197,-60.6733,76.98,88,75,3.44,BR,1658563476
58,albany,42.6001,-73.9662,68.04,92,0,2.57,US,1658563220
59,saint-philippe,-21.3585,55.7679,76.59,81,46,13.42,RE,1658563478
60,gushikawa,26.3544,127.8686,89.19,77,75,11.5,JP,1658563479
61,granville,-33.8333,151.0167,58.01,93,40,6.91,AU,1658563481
62,denpasar,-8.65,115.2167,82.06,74,40,18.41,ID,1658563359
63,hami,42.8,93.45,103.28,8,0,12.71,CN,1658563483
64,novaya igirma,57.1334,103.9112,67.98,80,100,7.49,RU,1658563484
65,mount gambier,-37.8333,140.7667,50.47,97,24,5.08,AU,1658563486
66,victoria,22.2855,114.1577,96.85,85,0,1.99,HK,1658563325
67,creston,41.0586,-94.3614,75.33,88,0,11.5,US,1658563488
68,grand gaube,-20.0064,57.6608,76.37,64,8,11.99,MU,1658563490
69,hovd,48.0056,91.6419,70.77,37,60,8.61,MN,1658563491
70,gat,31.61,34.7642,88.39,23,2,8.52,IL,1658563492
71,lebu,-37.6167,-73.65,53.29,97,100,14.18,CL,1658563493
72,koson,39.0375,65.585,104.32,6,0,2.33,UZ,1658563495
73,castro,-24.7911,-50.0119,54.75,68,84,2.48,BR,1658563496
74,broome,42.2506,-75.833,68.38,88,0,4.61,US,1658563497
75,ajdabiya,30.7554,20.2263,85.28,37,0,9.53,LY,1658563498
76,tommot,58.9564,126.2925,88.45,42,47,4.52,RU,1658563500
77,tuatapere,-46.1333,167.6833,39.51,90,23,3.15,NZ,1658563501
78,vardo,70.3705,31.1107,51.78,87,100,5.75,NO,1658563502
79,jamestown,42.097,-79.2353,72.72,85,0,3.44,US,1658563365
80,ust-kuyga,70.0167,135.6,70.88,62,100,3.71,RU,1658563504
81,faanui,-16.4833,-151.75,79.11,73,8,12.48,PF,1658563507
82,kurilsk,45.2333,147.8833,56.41,97,100,8.63,RU,1658563508
83,alta floresta,-9.8756,-56.0861,67.68,53,33,1.07,BR,1658563232
